link,Product Name,Variant,Stock Availability,Pricing,Category
https://www.lazada.com.my/products/sandisk-ultra-shift-usb-30-100mbs-flash-drive-thumb-drive-pendrive-original-i2631005011.html,SanDisk Ultra Shift USB 3.0 100MB/s Flash Drive / Thumb Drive / PenDrive (Original),Black 64GB ,9,RM79.00,OTG Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),256GB ,1,RM167.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),128GB ,1,RM85.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),32GB ,1,RM35.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),16GB ,1,RM33.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),64GB ,0,RM51.00,Flash Drives
https://www.lazada.com.my/products/mcdodo-ca-7561-type-c-to-dc35-female-audio-cable-adapter-11cm-original-i2786310821.html,Mcdodo CA-7561 Type-C to DC3.5 Female Audio Cable Adapter 11cm (Original),Not Specified ,10,RM59.00,Cables & Converters
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),16GB ,1,RM46.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),32GB ,1,RM47.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),64GB ,0,RM61.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),128GB ,1,RM97.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),256GB ,1,RM178.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-64gb-dual-drive-luxe-usb-type-c-150mbs-for-smartphones-tablets-and-computers-thumb-drive-flash-drive-pendrive-original-i2630935336.html,SanDisk Ultra 64GB Dual Drive Luxe USB Type-C 150MB/s for Smartphones Tablets and Computers Thumb Drive / Flash Drive / PenDrive (Original),Metallic 64GB ,5,RM99.00,OTG Drives
https://www.lazada.com.my/products/sony-mdr-e9lp-grey-stereo-earphone-mdr-e9lph-original-by-sony-malaysia-i1766680065.html,Sony MDR-E9LP Grey Stereo Earphone MDR-E9LP/H (Original) by Sony Malaysia,Grey ,126,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-ex15lp-black-in-ear-headphones-mdr-ex15lpb-original-1-year-warranty-by-sony-malaysia-i1727190655.html,Sony MDR-EX15LP Black In-Ear Headphones MDR-EX15LP/B (Original) 1 Year Warranty By Sony Malaysia,Black ,16,RM39.00,In-Ear Headphones
https://www.lazada.com.my/products/xiaomi-redmi-watch-2-lite-beige-color-original-i2800749886.html,Xiaomi Redmi Watch 2 Lite Beige Color (Original),,0,RM249.00,Smartwatches
https://www.lazada.com.my/products/nintendo-switch-mario-kart-live-home-circuit-mario-set-edition-by-nintendo-i2185634409.html,Nintendo Switch Mario Kart Live: Home Circuit - Mario Set Edition by Nintendo,Not Specified ,3,RM499.00,Console Games
https://www.lazada.com.my/products/sandisk-extreme-128gb-150mbs-sdhcsdxc-uhs-i-memory-card-original-i2831292601.html,SanDisk Extreme 128GB 150MB/s SDHC/SDXC UHS-I Memory Card (Original),128GB ,1,RM151.00,SD Cards
https://www.lazada.com.my/products/nintendo-switch-game-fifa-21-legacy-edition-original-i2198418308.html,Nintendo Switch Game FIFA 21 Legacy Edition (Original),Not Specified ,4,RM239.00,Console Games
https://www.lazada.com.my/products/samsung-ms32j5133gm-solo-microwave-oven-with-food-warming-32l-original-1-years-warranty-by-samsung-malaysia-i2048701370.html,Samsung MS32J5133GM Solo Microwave Oven with Food Warming 32L (Original) 1 Years Warranty By Samsung Malaysia,Black ,9,RM599.00,Microwaves
https://www.lazada.com.my/products/sony-ps5-game-fifa-22-standard-edition-playstation-5-original-r3-i2517873628.html,Sony PS5 Game FIFA 22 Standard Edition PlayStation 5 (Original) - R3,Not Specified ,16,RM289.00,Console Games
https://www.lazada.com.my/products/muzen-wild-mini-portable-wireless-bluetooth-speaker-i1874676222.html,Muzen Wild Mini Portable Wireless Bluetooth Speaker,Army Green ,3,RM349.00,Portable Line-In Speakers
https://www.lazada.com.my/products/muzen-wild-mini-portable-wireless-bluetooth-speaker-i1874676222.html,Muzen Wild Mini Portable Wireless Bluetooth Speaker,Yellow ,3,RM349.00,Portable Line-In Speakers
https://www.lazada.com.my/products/muzen-wild-mini-portable-wireless-bluetooth-speaker-i1874676222.html,Muzen Wild Mini Portable Wireless Bluetooth Speaker,Grey ,3,RM349.00,Portable Line-In Speakers
https://www.lazada.com.my/products/sony-mdr-ex15ap-white-earphone-headphone-mdr-ex15apw-original-by-sony-malaysia-i1774894839.html,Sony MDR-EX15AP White Earphone / Headphone MDR-EX15AP/W (Original) by Sony Malaysia,White ,1,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/nintendo-switch-game-super-mario-odyssey-original-by-nintendo-i1744970508.html,Nintendo Switch Game Super Mario Odyssey (Original) by Nintendo,Black ,1,RM229.00,Console Games
https://www.lazada.com.my/products/nintendo-switch-oled-model-console-original-1-year-warranty-by-maxsoft-i2552099258.html,Nintendo Switch OLED Model Console (Original) 1 Year Warranty by Maxsoft,White ,4,RM1799.00,Consoles
https://www.lazada.com.my/products/nintendo-switch-oled-model-console-original-1-year-warranty-by-maxsoft-i2552099258.html,Nintendo Switch OLED Model Console (Original) 1 Year Warranty by Maxsoft,Neon Blue / Neon Red ,2,RM1799.00,Consoles
https://www.lazada.com.my/products/nintendo-switch-game-crash-bandicoot-n-sane-trilogy-eu-original-i2186206341.html,Nintendo Switch Game Crash Bandicoot N. Sane Trilogy [EU] (Original),Black ,2,RM169.00,Console Games
https://www.lazada.com.my/products/sandisk-ultra-usb-30-flash-drive-pendrive-original-i2831173592.html,SanDisk Ultra USB 3.0 Flash Drive/ Pendrive (Original),32GB ,0,RM29.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-usb-30-flash-drive-pendrive-original-i2831173592.html,SanDisk Ultra USB 3.0 Flash Drive/ Pendrive (Original),64GB ,0,RM43.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-usb-30-flash-drive-pendrive-original-i2831173592.html,SanDisk Ultra USB 3.0 Flash Drive/ Pendrive (Original),128GB ,0,RM76.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-usb-30-flash-drive-pendrive-original-i2831173592.html,SanDisk Ultra USB 3.0 Flash Drive/ Pendrive (Original),256GB ,0,RM153.00,Flash Drives
https://www.lazada.com.my/products/gta-grand-theft-auto-the-trilogy-definite-edition-for-nintendo-switch-original-i2795071023.html,GTA Grand Theft Auto : The Trilogy Definite Edition For Nintendo Switch (Original),,9,RM239.00,Console Games
https://www.lazada.com.my/products/oppo-dl143-white-colour-type-c-cable-1meter-original-i2795351301.html,OPPO-DL143 White Colour Type-C Cable 1meter (Original),White 1 ,21,RM40.00,Cables & Converters
https://www.lazada.com.my/products/xiaomi-redmi-watch-2-lite-black-color-original-i2801578157.html,Xiaomi Redmi Watch 2 Lite Black Color (Original),Black Bluetooth ,0,RM249.00,Fitness Trackers
https://www.lazada.com.my/products/mcdodo-ca-6960-3a-nylon-braided-3-in-1-usb-data-cable-12m-original-i2786297948.html,Mcdodo CA-6960 3A Nylon Braided 3 In 1 USB Data Cable 1.2m (Original),Not Specified ,5,RM59.00,Cables & Converters
https://www.lazada.com.my/products/sony-mdr-ex155-gold-in-ear-headphones-mdr-ex155n-original-from-sony-malaysia-i1781616822.html,Sony MDR-EX155 Gold In-Ear Headphones MDR-EX155/N (Original) from Sony Malaysia,Gold ,5,RM79.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-zx310-blue-foldable-headphones-mdr-zx310l-original-from-sony-malaysia-i1727154227.html,Sony MDR-ZX310 Blue Foldable Headphones MDR-ZX310/L (Original) from Sony Malaysia,Blue ,6,RM105.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-ex15ap-black-earphone-headphone-mdr-ex15apb-original-by-sony-malaysia-i1727222488.html,Sony MDR-EX15AP Black Earphone / Headphone MDR-EX15AP/B (Original) by Sony Malaysia,Black ,5,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/samsung-hw-a650-soundbar-original-1-year-warranty-by-samsung-malaysia-i2293256461.html,Samsung HW-A650 Soundbar (Original) 1 Year Warranty By Samsung Malaysia,Black ,2,RM14999.00,Soundbars
https://www.lazada.com.my/products/nintendo-switch-game-sports-party-original-i2198993678.html,Nintendo Switch Game Sports Party (Original),Black ,1,RM149.00,Console Games
https://www.lazada.com.my/products/sandisk-ultra-32gb-100mbs-microsdhc-uhs-i-memory-card-original-7-years-warranty-i2915371376.html,SanDisk Ultra 32GB 100MB/s microSDHC UHS-I Memory Card (Original) 7 Years Warranty,,52,RM49.00,SD Cards
https://www.lazada.com.my/products/sony-ps4-game-cyberpunk-2077-playstation-4-r3-i1783670062.html,Sony PS4 Game Cyberpunk 2077 Playstation 4 - R3,Not Specified ,11,RM259.00,Console Games
https://www.lazada.com.my/products/xiaomi-mi-smart-band-5-black-colour-original-1-year-warranty-by-mi-malaysia-i2223221110.html,Xiaomi Mi Smart Band 5 Black Colour (Original) 1 Year Warranty by Mi Malaysia,Black Bluetooth ,3,RM169.00,Smartwatches
https://www.lazada.com.my/products/sandisk-cruzer-glide-cz600-16gb32gb64gb128gb-m30-150mbs-usb-flash-drive-pendrive-originalsandisk-cruzer-blade-16gb-usb-flash-drive-20-electric-pink-original-5-year-warranty-i2870869475.html,SanDisk Cruzer Glide CZ600 16GB/32GB/64GB/128GB m3.0 150MB/s USB Flash Drive/ Pendrive (Original)SanDisk Cruzer Blade 16GB USB Flash Drive 2.0 - Electric Pink (Original) 5 Year Warranty,,5,RM28.00,Flash Drives
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Black ,7,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,White ,0,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Grey ,8,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Blue ,113,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Pink ,139,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-ex15ap-earphone-headphone-original-by-sony-malaysia-i1774914644.html,Sony MDR-EX15AP Earphone / Headphone (Original) by Sony Malaysia,White ,5,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-ex15ap-earphone-headphone-original-by-sony-malaysia-i1774914644.html,Sony MDR-EX15AP Earphone / Headphone (Original) by Sony Malaysia,Black ,8,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-sf-4n4-4gb-sdhcsdxc-memory-card-original-i2769110178.html,Sony SF-4N4 4GB SDHC/SDXC Memory Card (Original),Not Specified 4GB ,10,RM26.00,SD Cards
https://www.lazada.com.my/products/sandisk-extreme-64gb-160mbs-microsd-card-for-mobile-gaming-original-10-years-warranty-i2845979327.html,SanDisk Extreme 64GB 160MB/s microSD Card for Mobile Gaming (Original) 10 Years Warranty,,3,RM64.00,SD Cards
https://www.lazada.com.my/products/realme-smart-band-green-colour-original-1-year-warranty-by-realme-malaysia-i1873730931.html,Realme Smart Band Green Colour (Original) 1 Year Warranty by Realme Malaysia,Green ,1,RM129.00,Smartwatches
https://www.lazada.com.my/products/sony-mdr-ex15lp-white-in-ear-headphones-mdr-ex15lpw-original-1-year-warranty-by-sony-malaysia-i1727182947.html,Sony MDR-EX15LP White In-Ear Headphones MDR-EX15LP/W (Original) 1 Year Warranty By Sony Malaysia,White ,9,RM39.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-wi-c400-black-wireless-in-ear-headphones-wi-c400b-original-from-sony-malaysia-i2034201784.html,Sony WI-C400 Black Wireless In-ear Headphones WI-C400/B (Original) from Sony Malaysia,Black ,2,RM279.00,In-Ear Headphones
https://www.lazada.com.my/products/sandisk-ultra-shift-usb-30-100mbs-flash-drive-thumb-drive-pendrive-original-i2631005011.html,SanDisk Ultra Shift USB 3.0 100MB/s Flash Drive / Thumb Drive / PenDrive (Original),Black 32GB ,9,RM59.00,OTG Drives
https://www.lazada.com.my/products/sandisk-ultra-shift-usb-30-100mbs-flash-drive-thumb-drive-pendrive-original-i2631005011.html,SanDisk Ultra Shift USB 3.0 100MB/s Flash Drive / Thumb Drive / PenDrive (Original),Black 64GB ,9,RM79.00,OTG Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),256GB ,1,RM167.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),128GB ,1,RM85.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),32GB ,1,RM35.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),16GB ,1,RM33.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-m30-usb30-flash-drive-pendrive-original-i2831187860.html,SanDisk Ultra Dual Drive m3.0 USB3.0 Flash Drive/ Pendrive (Original),64GB ,0,RM51.00,Flash Drives
https://www.lazada.com.my/products/mcdodo-ca-7561-type-c-to-dc35-female-audio-cable-adapter-11cm-original-i2786310821.html,Mcdodo CA-7561 Type-C to DC3.5 Female Audio Cable Adapter 11cm (Original),Not Specified ,10,RM59.00,Cables & Converters
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),16GB ,1,RM46.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),32GB ,1,RM47.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),64GB ,0,RM61.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),128GB ,1,RM97.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-dual-drive-usb31-type-c-pendrive-original-i2831268523.html,SanDisk Ultra Dual Drive USB3.1 Type-C/ Pendrive (Original),256GB ,1,RM178.00,Flash Drives
https://www.lazada.com.my/products/sandisk-ultra-64gb-dual-drive-luxe-usb-type-c-150mbs-for-smartphones-tablets-and-computers-thumb-drive-flash-drive-pendrive-original-i2630935336.html,SanDisk Ultra 64GB Dual Drive Luxe USB Type-C 150MB/s for Smartphones Tablets and Computers Thumb Drive / Flash Drive / PenDrive (Original),Metallic 64GB ,5,RM99.00,OTG Drives
https://www.lazada.com.my/products/sony-mdr-e9lp-grey-stereo-earphone-mdr-e9lph-original-by-sony-malaysia-i1766680065.html,Sony MDR-E9LP Grey Stereo Earphone MDR-E9LP/H (Original) by Sony Malaysia,Grey ,126,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/nintendo-switch-mario-kart-live-home-circuit-mario-set-edition-by-nintendo-i2185634409.html,Nintendo Switch Mario Kart Live: Home Circuit - Mario Set Edition by Nintendo,Not Specified ,3,RM499.00,Console Games
https://www.lazada.com.my/products/sony-mdr-ex15lp-black-in-ear-headphones-mdr-ex15lpb-original-1-year-warranty-by-sony-malaysia-i1727190655.html,Sony MDR-EX15LP Black In-Ear Headphones MDR-EX15LP/B (Original) 1 Year Warranty By Sony Malaysia,Black ,16,RM39.00,In-Ear Headphones
https://www.lazada.com.my/products/ready-stock-sony-wh-1000xm5-wireless-noise-canceling-headphones-original-from-sony-malaysia-i2987770270.html,[READY STOCK] Sony WH-1000XM5 Wireless Noise-Canceling Headphones (Original) from Sony Malaysia,Black ,4,RM1799.00,Over-The-Ear Headphones
https://www.lazada.com.my/products/ready-stock-sony-wh-1000xm5-wireless-noise-canceling-headphones-original-from-sony-malaysia-i2987770270.html,[READY STOCK] Sony WH-1000XM5 Wireless Noise-Canceling Headphones (Original) from Sony Malaysia,Silver ,3,RM1799.00,Over-The-Ear Headphones
https://www.lazada.com.my/products/sandisk-extreme-128gb-150mbs-sdhcsdxc-uhs-i-memory-card-original-i2831292601.html,SanDisk Extreme 128GB 150MB/s SDHC/SDXC UHS-I Memory Card (Original),128GB ,1,RM151.00,SD Cards
https://www.lazada.com.my/products/nintendo-switch-game-fifa-21-legacy-edition-original-i2198418308.html,Nintendo Switch Game FIFA 21 Legacy Edition (Original),Not Specified ,4,RM239.00,Console Games
https://www.lazada.com.my/products/samsung-ms32j5133gm-solo-microwave-oven-with-food-warming-32l-original-1-years-warranty-by-samsung-malaysia-i2048701370.html,Samsung MS32J5133GM Solo Microwave Oven with Food Warming 32L (Original) 1 Years Warranty By Samsung Malaysia,Black ,9,RM599.00,Microwaves
https://www.lazada.com.my/products/sony-ps5-game-fifa-22-standard-edition-playstation-5-original-r3-i2517873628.html,Sony PS5 Game FIFA 22 Standard Edition PlayStation 5 (Original) - R3,Not Specified ,16,RM289.00,Console Games
https://www.lazada.com.my/products/muzen-wild-mini-portable-wireless-bluetooth-speaker-i1874676222.html,Muzen Wild Mini Portable Wireless Bluetooth Speaker,Army Green ,3,RM349.00,Portable Line-In Speakers
https://www.lazada.com.my/products/muzen-wild-mini-portable-wireless-bluetooth-speaker-i1874676222.html,Muzen Wild Mini Portable Wireless Bluetooth Speaker,Yellow ,3,RM349.00,Portable Line-In Speakers
https://www.lazada.com.my/products/muzen-wild-mini-portable-wireless-bluetooth-speaker-i1874676222.html,Muzen Wild Mini Portable Wireless Bluetooth Speaker,Grey ,3,RM349.00,Portable Line-In Speakers
https://www.lazada.com.my/products/sony-mdr-ex15ap-white-earphone-headphone-mdr-ex15apw-original-by-sony-malaysia-i1774894839.html,Sony MDR-EX15AP White Earphone / Headphone MDR-EX15AP/W (Original) by Sony Malaysia,White ,1,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/nintendo-switch-game-super-mario-odyssey-original-by-nintendo-i1744970508.html,Nintendo Switch Game Super Mario Odyssey (Original) by Nintendo,Black ,1,RM229.00,Console Games
https://www.lazada.com.my/products/nintendo-switch-game-crash-bandicoot-n-sane-trilogy-eu-original-i2186206341.html,Nintendo Switch Game Crash Bandicoot N. Sane Trilogy [EU] (Original),Black ,2,RM169.00,Console Games
https://www.lazada.com.my/products/gta-grand-theft-auto-the-trilogy-definite-edition-for-nintendo-switch-original-i2795071023.html,GTA Grand Theft Auto : The Trilogy Definite Edition For Nintendo Switch (Original),,9,RM239.00,Console Games
https://www.lazada.com.my/products/nintendo-switch-oled-model-console-original-1-year-warranty-by-maxsoft-i2552099258.html,Nintendo Switch OLED Model Console (Original) 1 Year Warranty by Maxsoft,White ,4,RM1799.00,Consoles
https://www.lazada.com.my/products/nintendo-switch-oled-model-console-original-1-year-warranty-by-maxsoft-i2552099258.html,Nintendo Switch OLED Model Console (Original) 1 Year Warranty by Maxsoft,Neon Blue / Neon Red ,2,RM1799.00,Consoles
https://www.lazada.com.my/products/oppo-dl143-white-colour-type-c-cable-1meter-original-i2795351301.html,OPPO-DL143 White Colour Type-C Cable 1meter (Original),White 1 ,21,RM40.00,Cables & Converters
https://www.lazada.com.my/products/mcdodo-ca-6960-3a-nylon-braided-3-in-1-usb-data-cable-12m-original-i2786297948.html,Mcdodo CA-6960 3A Nylon Braided 3 In 1 USB Data Cable 1.2m (Original),Not Specified ,5,RM59.00,Cables & Converters
https://www.lazada.com.my/products/sony-mdr-ex15ap-black-earphone-headphone-mdr-ex15apb-original-by-sony-malaysia-i1727222488.html,Sony MDR-EX15AP Black Earphone / Headphone MDR-EX15AP/B (Original) by Sony Malaysia,Black ,5,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/samsung-hw-a650-soundbar-original-1-year-warranty-by-samsung-malaysia-i2293256461.html,Samsung HW-A650 Soundbar (Original) 1 Year Warranty By Samsung Malaysia,Black ,2,RM14999.00,Soundbars
https://www.lazada.com.my/products/sony-mdr-ex155-gold-in-ear-headphones-mdr-ex155n-original-from-sony-malaysia-i1781616822.html,Sony MDR-EX155 Gold In-Ear Headphones MDR-EX155/N (Original) from Sony Malaysia,Gold ,5,RM79.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-zx310-blue-foldable-headphones-mdr-zx310l-original-from-sony-malaysia-i1727154227.html,Sony MDR-ZX310 Blue Foldable Headphones MDR-ZX310/L (Original) from Sony Malaysia,Blue ,6,RM105.00,In-Ear Headphones
https://www.lazada.com.my/products/nintendo-switch-game-sports-party-original-i2198993678.html,Nintendo Switch Game Sports Party (Original),Black ,1,RM149.00,Console Games
https://www.lazada.com.my/products/sandisk-ultra-32gb-100mbs-microsdhc-uhs-i-memory-card-original-7-years-warranty-i2915371376.html,SanDisk Ultra 32GB 100MB/s microSDHC UHS-I Memory Card (Original) 7 Years Warranty,,52,RM49.00,SD Cards
